,Year,Last,First,Hand,IP,G,W,L,SV,HLD,CG,SHO,PCT,BF,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA
0,2019,Adames,Samuel,R,9.3333,11,0,1,0,3,0,0,0.0,40,10,2,4,0,0,4,0,0,7,7,6.75
1,2019,Cook,Ryan,R,15.0,13,0,2,6,0,0,0,0.0,67,19,2,6,0,0,9,2,0,8,8,4.8
2,2019,De La Rosa,Rubby,R,24.0,26,1,0,8,5,0,0,1.0,93,16,4,5,0,1,32,0,0,6,6,2.25
3,2019,Furukawa,Yuri,R,5.0,3,1,1,0,0,0,0,0.5,21,4,0,2,0,0,10,0,0,4,4,7.2
4,2019,Hatake,Seishu,R,15.6666,5,0,1,0,0,0,0,0.0,76,26,2,5,0,1,14,0,0,14,12,6.89
5,2019,Horioka,Hayato,R,4.3333,3,0,0,0,0,0,0,0.0,18,5,1,3,0,0,2,1,0,3,3,6.23
6,2019,Ikeda,Shun,L,1.0,2,0,0,0,0,0,0,0.0,6,2,1,1,0,0,1,0,0,2,2,18.0
7,2019,Imamura,Nobutaka,L,81.6666,17,3,2,0,0,0,0,0.6,349,82,9,26,1,8,54,1,0,39,37,4.08
8,2019,Jungmann,Taylor,R,44.3333,10,3,4,0,0,0,0,0.429,206,49,9,26,0,3,28,2,0,33,30,6.09
9,2019,Kagiya,Yohei,R,27.0,27,0,2,0,6,0,0,0.0,117,21,4,18,3,0,11,0,0,11,9,3.0
10,2019,Kuwahara,Takuya,R,19.0,15,0,1,0,2,0,0,0.0,80,17,4,4,0,2,16,1,0,11,10,4.74
11,2019,Mathieson,Scott,R,22.6666,28,2,2,1,8,0,0,0.5,104,28,2,9,2,0,19,0,0,11,11,4.37
12,2019,Mercedes,Cristopher Crisostomo,L,120.3333,22,8,8,0,0,0,0,0.5,512,137,12,28,1,5,89,2,0,49,47,3.52
13,2019,Miyaguni,Ryosuke,R,29.6666,28,0,2,0,3,0,0,0.0,122,26,2,9,0,1,21,1,0,16,13,3.94
14,2019,Morifuku,Masahiko,L,4.3333,7,0,0,0,3,0,0,0.0,18,5,2,0,0,0,5,0,0,3,3,6.23
15,2019,Nakagawa,Kota,L,64.6666,67,4,3,16,17,0,0,0.5710000000000001,270,57,3,18,2,2,74,0,0,19,17,2.37
16,2019,Nogami,Ryoma,R,18.0,13,1,2,1,3,0,0,0.33299999999999996,81,19,1,6,0,0,16,1,0,10,7,3.5
17,2019,Oe,Ryusei,L,10.6666,8,0,0,0,1,0,0,0.0,49,13,3,3,1,0,7,1,0,9,8,6.75
18,2019,Otake,Kan,R,26.0,32,4,0,0,8,0,0,1.0,111,26,2,8,2,0,24,1,0,9,8,2.77
19,2019,Sakamoto,Koki,R,2.0,2,0,0,0,0,0,0,0.0,12,5,0,0,0,1,3,0,0,3,3,13.5
20,2019,Sakurai,Toshiki,R,108.3333,29,8,6,0,0,0,0,0.5710000000000001,472,109,12,42,0,4,82,1,0,53,52,4.32
21,2019,Sawamura,Hirokazu,R,48.3333,43,2,2,1,13,0,0,0.5,197,40,3,17,1,3,55,1,0,14,14,2.61
22,2019,Sugano,Tomoyuki,R,136.3333,22,11,6,0,0,3,1,0.647,577,138,20,32,2,3,120,0,0,65,59,3.89
23,2019,Taguchi,Kazuto,L,65.3333,55,3,3,1,14,0,0,0.5,276,59,11,18,2,2,66,2,0,30,30,4.13
24,2019,Tahara,Seiji,R,16.6666,25,2,2,0,5,0,0,0.5,70,14,1,7,1,0,9,1,0,8,8,4.32
25,2019,Takagi,Kyosuke,L,54.0,55,3,1,0,10,0,0,0.75,220,51,11,13,2,0,48,1,0,23,23,3.83
26,2019,Takahashi,Yuki,L,93.0,18,5,7,0,0,0,0,0.41700000000000004,395,70,14,48,1,5,89,1,0,34,33,3.19
27,2019,Takata,Hosei,R,5.0,2,0,0,0,0,0,0,0.0,22,7,0,2,1,0,7,0,0,3,3,5.4
28,2019,Togo,Shosei,R,8.6666,2,1,0,0,0,0,0,1.0,34,6,1,3,0,1,11,0,0,2,2,2.08
29,2019,Tone,Chiaki,L,22.6666,26,0,1,0,8,0,0,0.0,104,17,2,17,2,3,21,0,0,7,5,1.99
30,2019,Yamaguchi,Shun,R,170.0,26,15,4,0,0,0,0,0.789,705,137,8,60,1,13,188,4,0,60,55,2.91
31,2019,Yoshikawa,Mitsuo,L,6.3333,9,0,1,0,3,0,0,0.0,35,12,2,6,0,0,4,0,0,7,7,9.95
