,Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
14,15.0,Toshiki Sakurai,26.0,2,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
26,27.0,Dai Yuasa,20.0,5,6,5,1,0,0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0,0,0,1,0,0,
20,21.0,Shunta Tanaka*,26.0,4,2,2,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
21,22.0,Shosei Togo,20.0,2,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
5,6.0,Seiji Kobayashi,31.0,2,5,3,1,0,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.4,0,0,2,0,0,0,
6,7.0,Takuya Kuwahara,24.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
15,16.0,Angel Sanchez,30.0,3,6,5,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,
17,18.0,Tomoyuki Sugano,30.0,3,8,6,0,1,0,0,0,0,0,0,0,2,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,1,0,0,2,0,0,
8,9.0,Daiki Masuda,26.0,12,15,11,7,2,1,0,0,1,4,0,4,4,0.182,0.4,0.273,0.6729999999999999,3,0,0,0,0,0,
23,24.0,Zelous Wheeler,33.0,5,11,11,0,2,0,0,0,0,0,0,0,4,0.182,0.182,0.182,0.364,2,0,0,0,0,0,
22,23.0,Akihiro Wakabayashi#,26.0,8,5,5,2,1,0,0,0,0,0,1,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,
25,26.0,Naoki Yoshikawa*,25.0,14,37,34,2,7,0,0,1,2,0,1,3,10,0.20600000000000002,0.27,0.294,0.564,10,1,0,0,0,1,
7,8.0,Yoshihiro Maru*,31.0,15,63,57,6,13,3,0,3,14,1,1,6,15,0.228,0.302,0.439,0.74,25,1,0,0,0,0,
10,11.0,Takumi Ohshiro*,27.0,12,35,30,6,7,1,1,0,2,0,0,5,11,0.233,0.34299999999999997,0.33299999999999996,0.6759999999999999,10,0,0,0,0,1,
2,3.0,Yoshiyuki Kamei*,37.0,11,31,25,3,6,4,0,0,5,0,0,5,2,0.24,0.387,0.4,0.787,10,0,1,0,0,0,
24,25.0,Daikan Yoh,33.0,12,31,30,8,8,1,0,1,3,1,0,1,7,0.267,0.29,0.4,0.69,12,1,0,0,0,0,
13,14.0,Hayato Sakamoto,31.0,15,64,55,11,15,2,1,3,8,2,0,9,13,0.273,0.375,0.509,0.884,28,3,0,0,0,2,
27,TeamBat,27 Players,29.5,15,566,499,83,136,26,2,20,81,11,5,58,124,0.273,0.35200000000000004,0.45299999999999996,0.805,226,12,3,6,0,6,
9,10.0,Hiroyuki Nakajima,37.0,15,53,43,4,12,3,0,2,6,0,0,10,8,0.27899999999999997,0.415,0.488,0.903,21,2,0,0,0,0,
16,17.0,Shinnosuke Shigenobu*,27.0,12,15,13,6,4,1,0,1,3,1,1,2,3,0.308,0.4,0.615,1.015,8,0,0,0,0,0,
12,13.0,Gerardo Parra*,33.0,14,53,48,7,15,2,0,3,10,0,1,5,12,0.313,0.377,0.542,0.919,26,0,0,0,0,1,
18,19.0,Ginjiro Sumitani,32.0,8,20,18,2,6,1,0,0,4,0,0,1,3,0.33299999999999996,0.368,0.389,0.757,7,1,0,1,0,0,
1,2.0,Shingo Ishikawa,27.0,11,9,9,1,3,0,0,1,4,0,0,0,3,0.33299999999999996,0.33299999999999996,0.667,1.0,6,0,0,0,0,0,
4,5.0,Takumi Kitamura,24.0,9,12,11,2,4,2,0,0,5,0,0,1,2,0.364,0.41700000000000004,0.545,0.9620000000000001,6,0,0,0,0,0,
11,12.0,Kazuma Okamoto,24.0,15,64,58,14,24,4,0,5,12,0,0,6,11,0.414,0.469,0.741,1.21,43,2,0,0,0,1,
19,20.0,Kazuto Taguchi*,24.0,3,6,6,0,3,1,0,0,1,0,0,0,2,0.5,0.5,0.667,1.167,4,0,0,0,0,0,
3,4.0,Yukinori Kishida,23.0,2,3,3,0,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.3330000000000002,2,1,0,0,0,0,
0,1.0,Cristopher Crisostomo*,26.0,2,2,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,1,0,0,
