,Year,Name,Last,First,Hand,Player,PA,AB,R,H,2B,3B,HR,TB,RBI,PartIn,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP
0,2019, Shinnosuke Abe,Abe,Shinnosuke,L,"Abe, Shinnosuke",192,158,15,47,8,0,7,76,27,0,0,0,2,28,2,4,23,1,0.297,0.48100000000000004,0.41100000000000003
1,2019, Samuel Adames,Adames,Samuel,R,"Adames, Samuel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,2019, Ryan Cook,Cook,Ryan,R,"Cook, Ryan",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
3,2019, Rubby De La Rosa,De La Rosa,Rubby,R,"De La Rosa, Rubby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
4,2019, Yuri Furukawa,Furukawa,Yuri,R,"Furukawa, Yuri",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
5,2019, Alex Guerrero,Guerrero,Alex,R,"Guerrero, Alex",333,287,33,68,16,2,21,151,54,1,0,1,1,40,2,4,59,5,0.237,0.526,0.337
6,2019, Seishu Hatake,Hatake,Seishu,L,"Hatake, Seishu",4,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.5,0.5,0.667
7,2019, Hayato Horioka,Horioka,Hayato,R,"Horioka, Hayato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
8,2019, Shun Ikeda,Ikeda,Shun,L,"Ikeda, Shun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
9,2019, Nobutaka Imamura,Imamura,Nobutaka,L,"Imamura, Nobutaka",26,23,2,4,0,0,0,4,1,0,0,2,0,1,0,0,9,0,0.174,0.174,0.20800000000000002
10,2019, Shingo Ishikawa,Ishikawa,Shingo,R,"Ishikawa, Shingo",76,70,12,18,2,0,4,32,10,0,0,0,0,6,1,0,14,2,0.257,0.457,0.316
11,2019, Taylor Jungmann,Jungmann,Taylor,R,"Jungmann, Taylor",14,13,1,3,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0.231,0.231,0.231
12,2019, Yohei Kagiya,Kagiya,Yohei,R,"Kagiya, Yohei",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
13,2019, Yoshiyuki Kamei,Kamei,Yoshiyuki,L,"Kamei, Yoshiyuki",503,450,67,128,27,2,13,198,55,9,1,3,5,45,3,0,91,6,0.284,0.44,0.34600000000000003
14,2019, Shuhei Kato,Kato,Shuhei,L,"Kato, Shuhei",3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
15,2019, Yukinori Kishida,Kishida,Yukinori,R,"Kishida, Yukinori",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
16,2019, Takumi Kitamura,Kitamura,Takumi,R,"Kitamura, Takumi",7,5,3,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0.0,0.0,0.28600000000000003
17,2019, Seiji Kobayashi,Kobayashi,Seiji,R,"Kobayashi, Seiji",236,213,20,52,6,0,2,64,19,1,0,11,1,7,0,4,48,12,0.244,0.3,0.28
18,2019, Takuya Kuwahara,Kuwahara,Takuya,R,"Kuwahara, Takuya",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
19,2019, Jorge Martinez,Martinez,Jorge,S,"Martinez, Jorge",8,8,0,1,1,0,0,2,1,0,0,0,0,0,0,0,5,0,0.125,0.25,0.125
20,2019, Yoshihiro Maru,Maru,Yoshihiro,L,"Maru, Yoshihiro",631,535,82,156,26,1,27,265,89,12,5,0,7,86,3,3,125,15,0.292,0.495,0.38799999999999996
21,2019, Daiki Masuda,Masuda,Daiki,R,"Masuda, Daiki",58,50,20,10,2,2,0,16,6,15,2,2,0,6,0,0,11,2,0.2,0.32,0.28600000000000003
22,2019, Scott Mathieson,Mathieson,Scott,R,"Mathieson, Scott",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
23,2019, Cristopher Crisostomo Mercedes,Mercedes,Cristopher Crisostomo,S,"Mercedes, Cristopher Crisostomo",42,36,1,3,0,0,0,3,0,0,0,5,0,1,0,0,16,0,0.083,0.083,0.10800000000000001
24,2019, Ryosuke Miyaguni,Miyaguni,Ryosuke,R,"Miyaguni, Ryosuke",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
