,Name,G,PO,A,E,DP,Fld%,RF/G,Notes
-1,First Base,,,,,,,,
0,Hiroyuki Nakajima,13.0,104.0,7.0,1.0,8.0,0.991,8.54,
1,Daikan Yoh,6.0,26.0,3.0,0.0,1.0,1.0,4.83,
2,Takumi Kitamura,3.0,14.0,0.0,0.0,1.0,1.0,4.67,
3,Shunta Tanaka,2.0,5.0,0.0,0.0,1.0,1.0,2.5,
-1,Second Base,,,,,,,,
0,Naoki Yoshikawa,14.0,18.0,21.0,0.0,5.0,1.0,2.79,
1,Takumi Kitamura,5.0,8.0,9.0,0.0,4.0,1.0,3.4,
2,Daiki Masuda,5.0,7.0,12.0,0.0,1.0,1.0,3.8,
3,Shunta Tanaka,1.0,0.0,3.0,0.0,0.0,1.0,3.0,
4,Akihiro Wakabayashi,1.0,1.0,3.0,0.0,1.0,1.0,4.0,
5,Dai Yuasa,1.0,0.0,0.0,0.0,0.0,,0.0,
-1,Third Base,,,,,,,,
0,Kazuma Okamoto,15.0,13.0,32.0,1.0,2.0,0.978,3.0,
1,Daiki Masuda,1.0,0.0,0.0,0.0,0.0,,0.0,
2,Akihiro Wakabayashi,1.0,0.0,0.0,0.0,0.0,,0.0,
-1,Short Stop,,,,,,,,
0,Hayato Sakamoto,15.0,25.0,43.0,0.0,8.0,1.0,4.53,
1,Daiki Masuda,4.0,0.0,2.0,0.0,0.0,1.0,0.5,
2,Shunta Tanaka,1.0,1.0,1.0,0.0,0.0,1.0,2.0,
3,Dai Yuasa,1.0,0.0,0.0,0.0,0.0,,0.0,
-1,First Base,,,,,,,,
0,Hiroyuki Nakajima,13.0,104.0,7.0,1.0,8.0,0.991,8.54,
1,Daikan Yoh,6.0,26.0,3.0,0.0,1.0,1.0,4.83,
2,Takumi Kitamura,3.0,14.0,0.0,0.0,1.0,1.0,4.67,
3,Shunta Tanaka,2.0,5.0,0.0,0.0,1.0,1.0,2.5,
-1,Pitching,,,,,,,,
0,Kyosuke Takagi,9.0,0.0,2.0,0.0,0.0,1.0,0.22,
1,Hirokazu Sawamura,8.0,1.0,1.0,0.0,0.0,1.0,0.25,
2,Yohei Kagiya,7.0,1.0,0.0,0.0,0.0,1.0,0.14,
3,Kota Nakagawa,7.0,0.0,2.0,0.0,0.0,1.0,0.29,
4,Rubby De La Rosa,6.0,1.0,0.0,0.0,0.0,1.0,0.17,
5,Takahiro Fujioka,6.0,0.0,2.0,0.0,0.0,1.0,0.33,
6,Ryosuke Miyaguni,6.0,1.0,0.0,0.0,0.0,1.0,0.17,
7,Takuya Kuwahara,4.0,0.0,4.0,0.0,1.0,1.0,1.0,
8,Angel Sanchez,3.0,0.0,2.0,0.0,0.0,1.0,0.67,
9,Tomoyuki Sugano,3.0,2.0,1.0,0.0,0.0,1.0,1.0,
10,Kazuto Taguchi,3.0,0.0,1.0,0.0,0.0,1.0,0.33,
11,Cristopher Crisostomo,2.0,0.0,3.0,0.0,0.0,1.0,1.5,
12,Toshiki Sakurai,2.0,0.0,2.0,0.0,0.0,1.0,1.0,
13,Shosei Togo,2.0,0.0,1.0,0.0,0.0,1.0,0.5,
14,Yuri Furukawa,1.0,0.0,0.0,0.0,0.0,,0.0,
15,Hayato Horioka,1.0,0.0,0.0,0.0,0.0,,0.0,
16,Thyago Vieira,1.0,0.0,1.0,0.0,0.0,1.0,1.0,
