,Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
0,1.0,Cristopher Crisostomo,26.0,0,2,0.0,4.11,3,,,0,0,0,15.1,17,7,7,4,3,1,13,1,0,0,66,1.304,10.0,2.3,1.8,7.6,4.33,
1,2.0,Rubby De La Rosa,31.0,0,0,,1.8,6,,,0,0,4,5.0,5,1,1,1,1,0,3,1,0,1,20,1.2,9.0,1.8,1.8,5.4,3.0,
2,3.0,Takahiro Fujioka,30.0,0,0,,3.18,6,,,0,0,0,5.2,6,2,2,1,4,1,3,1,0,1,27,1.765,9.5,1.6,6.4,4.8,0.75,
3,4.0,Yuri Furukawa,24.0,0,0,,4.5,1,,,0,0,0,2.0,4,1,1,1,0,0,2,0,0,0,9,2.0,18.0,4.5,0.0,9.0,,
4,5.0,Hayato Horioka,21.0,0,0,,0.0,1,,,0,0,0,2.0,1,0,0,0,0,0,2,0,0,0,6,0.5,4.5,0.0,0.0,9.0,,
5,6.0,Yohei Kagiya,29.0,0,0,,3.86,7,,,0,0,0,4.2,2,2,2,0,1,0,3,0,0,0,16,0.643,3.9,0.0,1.9,5.8,3.0,
6,7.0,Takuya Kuwahara,24.0,1,0,1.0,4.5,4,,,0,0,0,6.0,4,3,3,0,3,0,5,1,0,0,25,1.167,6.0,0.0,4.5,7.5,1.67,
7,8.0,Ryosuke Miyaguni,28.0,0,0,,5.4,6,,,0,0,0,6.2,7,4,4,1,2,0,6,0,0,0,29,1.35,9.5,1.4,2.7,8.1,3.0,
8,9.0,Kota Nakagawa,26.0,0,0,,1.29,7,,,0,0,0,7.0,5,1,1,0,2,0,5,0,0,0,28,1.0,6.4,0.0,2.6,6.4,2.5,
9,10.0,Toshiki Sakurai,26.0,1,0,1.0,1.93,2,,,0,0,0,14.0,8,3,3,2,2,0,14,0,0,0,52,0.7140000000000001,5.1,1.3,1.3,9.0,7.0,
10,11.0,Angel Sanchez,30.0,2,1,0.667,2.63,3,,,0,0,0,13.2,13,4,4,1,9,0,4,0,0,0,61,1.61,8.6,0.7,5.9,2.6,0.44,
11,12.0,Hirokazu Sawamura,32.0,1,1,0.5,7.5,8,,,0,0,0,6.0,5,5,5,0,5,0,6,0,0,0,28,1.6669999999999998,7.5,0.0,7.5,9.0,1.2,
12,13.0,Tomoyuki Sugano,30.0,2,0,1.0,2.91,3,,,1,1,0,21.2,14,7,7,2,4,0,23,1,0,0,83,0.831,5.8,0.8,1.7,9.6,5.75,
13,14.0,Kazuto Taguchi,24.0,1,0,1.0,2.08,3,,,0,0,0,13.0,11,3,3,1,3,0,9,0,0,1,52,1.077,7.6,0.7,2.1,6.2,3.0,
14,15.0,Kyosuke Takagi,30.0,0,1,0.0,6.0,10,,,0,0,0,6.0,7,4,4,1,0,0,10,0,0,0,25,1.167,10.5,1.5,0.0,15.0,,
15,16.0,Shosei Togo,20.0,2,0,1.0,2.77,2,,,0,0,0,13.0,8,4,4,1,5,0,11,0,0,1,50,1.0,5.5,0.7,3.5,7.6,2.2,
16,17.0,Thyago Vieira,26.0,0,0,,0.0,2,,,0,0,0,1.1,3,0,0,0,3,0,0,1,0,0,10,4.5,20.3,0.0,20.3,0.0,0.0,
17,TeamPitch,17 Players,28.4,10,5,0.667,3.21,16,16.0,15.0,1,2,4,143.0,120,51,51,16,47,2,119,6,0,4,587,1.168,7.6,1.0,3.0,7.5,2.53,
