,Team,Name,Age,G,PCT,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,2.0,Seishu Hatake,26.0,4,7,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,3,0,0,
36,37.0,Dai Yuasa,20.0,5,6,5,1,0,0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0,0,0,1,0,0,
28,29.0,Shunta Tanaka,26.0,8,5,5,0,0,0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
22,23.0,Angel Sanchez,30.0,6,13,11,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0,0,0,2,0,0,
5,6.0,Shuhei Katoh,21.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
16,17.0,Ryusei Ohe,21.0,21,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
15,16.0,Daisuke Naoe,20.0,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
8,9.0,Seiji Kobayashi,31.0,2,5,3,1,0,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.4,0,0,2,0,0,0,
9,10.0,Takuya Kuwahara,24.0,5,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
30,31.0,Shosei Togo,20.0,10,20,19,1,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0,0,0,1,0,0,
21,22.0,Toshiki Sakurai,26.0,12,13,10,0,0,0,0,0,0,0,0,1,4,0.0,0.091,0.0,0.091,0,0,0,2,0,0,
23,24.0,Hirokazu Sawamura,32.0,13,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
25,26.0,Tomoyuki Sugano,30.0,11,32,26,2,2,1,0,0,3,0,0,1,7,0.077,0.111,0.115,0.226,3,0,0,5,0,0,
0,1.0,Cristopher Crisostomo,26.0,10,20,18,0,2,0,0,0,0,0,0,0,8,0.111,0.111,0.111,0.222,2,0,0,2,0,0,
2,3.0,Nobutaka Imamura,26.0,5,10,9,2,1,0,0,0,1,0,0,1,7,0.111,0.2,0.111,0.311,1,0,0,0,0,0,
34,35.0,Daiki Yoshikawa#,27.0,16,8,8,0,1,0,0,0,0,1,1,0,2,0.125,0.125,0.125,0.25,1,0,0,0,0,0,
26,27.0,Ginjiro Sumitani,32.0,32,80,72,4,14,2,0,1,6,0,0,5,14,0.19399999999999998,0.256,0.264,0.52,19,2,1,2,0,2,
3,4.0,Shingo Ishikawa,27.0,25,29,28,1,6,1,0,1,6,0,0,1,7,0.214,0.24100000000000002,0.35700000000000004,0.599,10,1,0,0,0,0,
13,14.0,Israel Mota,24.0,9,11,9,3,2,0,0,1,4,1,0,2,3,0.222,0.364,0.556,0.919,5,0,0,0,0,0,
33,34.0,Daikan Yoh,33.0,30,60,48,12,11,1,0,1,5,1,0,8,14,0.22899999999999998,0.35,0.313,0.6629999999999999,15,1,2,0,2,0,
31,32.0,Akihiro Wakabayashi#,26.0,35,51,49,8,12,1,0,0,1,0,1,1,14,0.245,0.26,0.265,0.525,13,2,0,1,0,0,
24,25.0,Shinnosuke Shigenobu,27.0,44,63,60,15,15,4,1,1,6,4,1,3,21,0.25,0.28600000000000003,0.4,0.6859999999999999,24,1,0,0,0,0,
11,12.0,Daiki Masuda,26.0,47,33,28,20,7,2,0,0,1,13,2,5,9,0.25,0.364,0.321,0.685,9,0,0,0,0,0,
35,36.0,Naoki Yoshikawa,25.0,58,177,155,14,39,6,1,6,19,4,1,19,37,0.252,0.337,0.419,0.7559999999999999,65,3,1,2,0,4,
12,13.0,Seiya Matsubara,25.0,31,94,83,12,21,3,1,1,6,1,1,9,22,0.253,0.32299999999999995,0.349,0.672,29,0,0,1,1,0,
37,TeamBat,37 Players,29.1,65,2467,2175,320,567,100,7,83,303,38,15,238,541,0.261,0.335,0.428,0.763,930,45,12,30,12,19,
