,Name,G,PO,A,E,DP,Fld%,RF/G,Notes
-1,First Base,,,,,,,,
0,Hiroyuki Nakajima,52.0,354.0,19.0,1.0,26.0,0.997,7.17,
1,Zelous Wheeler,22.0,118.0,4.0,1.0,9.0,0.992,5.55,
2,Takumi Kitamura,21.0,71.0,2.0,0.0,3.0,1.0,3.48,
3,Daikan Yoh,9.0,30.0,3.0,0.0,2.0,1.0,3.67,
4,Takumi Ohshiro,5.0,33.0,0.0,0.0,3.0,1.0,6.6,
5,Shunta Tanaka,2.0,5.0,0.0,0.0,1.0,1.0,2.5,
6,Akihiro Wakabayashi,2.0,3.0,0.0,0.0,0.0,1.0,1.5,
7,Yoshiyuki Kamei,1.0,5.0,1.0,0.0,1.0,1.0,6.0,
-1,Second Base,,,,,,,,
0,Naoki Yoshikawa,55.0,83.0,121.0,1.0,23.0,0.995,3.71,
1,Takumi Kitamura,19.0,24.0,39.0,0.0,14.0,1.0,3.32,
2,Akihiro Wakabayashi,9.0,7.0,22.0,0.0,4.0,1.0,3.22,
3,Daiki Masuda,7.0,8.0,14.0,0.0,1.0,1.0,3.14,
4,Daiki Yoshikawa,4.0,3.0,6.0,0.0,0.0,1.0,2.25,
5,Shunta Tanaka,3.0,2.0,3.0,0.0,0.0,1.0,1.67,
6,Zelous Wheeler,2.0,3.0,0.0,0.0,0.0,1.0,1.5,
7,Dai Yuasa,1.0,0.0,0.0,0.0,0.0,,0.0,
-1,Third Base,,,,,,,,
0,Kazuma Okamoto,65.0,46.0,111.0,3.0,6.0,0.981,2.42,
1,Takumi Kitamura,6.0,1.0,2.0,0.0,0.0,1.0,0.5,
2,Akihiro Wakabayashi,5.0,0.0,1.0,0.0,1.0,1.0,0.2,
3,Daiki Masuda,2.0,0.0,0.0,0.0,0.0,,0.0,
4,Zelous Wheeler,1.0,0.0,0.0,0.0,0.0,,0.0,
5,Daiki Yoshikawa,1.0,0.0,1.0,0.0,0.0,1.0,1.0,
-1,Short Stop,,,,,,,,
0,Hayato Sakamoto,64.0,89.0,157.0,2.0,31.0,0.992,3.84,
1,Daiki Masuda,19.0,5.0,14.0,0.0,2.0,1.0,1.0,
2,Naoki Yoshikawa,5.0,1.0,1.0,0.0,0.0,1.0,0.4,
3,Daiki Yoshikawa,4.0,3.0,4.0,0.0,1.0,1.0,1.75,
