,Year,Name,Last,First,Byear,Bmonth,Bday,No.,Height (cm),Weight (kg),Throws,Bats
0,2024,Shinnosuke Abe,Abe,Shinnosuke, 1979,Mar,20,83,,,,
1,2024,,PITCHERS,,,Born,,No.,Ht.(cm),Wt.(kg),T,B
2,2024,Yuji Akahoshi,Akahoshi,Yuji, 1999,Jul,2,31,175,82,R,R
3,2024,Kosuke Baba,Baba,Kosuke, 1995,May,18,36,180,97,R,R
4,2024,Alberto Baldonado,Baldonado,Alberto, 1993,Feb,1,49,196,122,L,L
5,2024,Hiromasa Funabasama,Funabasama,Hiromasa, 1996,Oct,16,58,174,77,R,L
6,2024,Foster Griffin,Griffin,Foster, 1995,Jul,27,29,190,102,L,L
7,2024,Seishu Hatake,Hatake,Seishu, 1994,May,31,45,186,82,R,L
8,2024,Ryuta Heinai,Heinai,Ryuta, 1998,Aug,1,66,185,99,R,R
9,2024,Kenshin Hotta,Hotta,Kenshin, 2001,May,21,91,186,88,R,R
10,2024,Nobutaka Imamura,Imamura,Nobutaka, 1994,Mar,15,26,180,90,L,L
11,2024,Haruto Inoue,Inoue,Haruto, 2001,May,13,97,175,78,L,L
12,2024,Hayato Ishita,Ishita,Hayato, 2003,Apr,5,56,183,85,L,L
13,2024,Keisuke Izumi,Izumi,Keisuke, 1997,Mar,2,63,188,80,R,R
14,2024,Kyle Keller,Keller,Kyle, 1993,Apr,28,33,193,92,R,R
15,2024,Taiki Kikuchi,Kikuchi,Taiki, 1999,Jun,2,96,186,89,R,L
16,2024,Taisuke Kondoh,Kondoh,Taisuke, 1991,May,29,30,177,80,R,R
17,2024,Makoto Kyomoto,Kyomoto,Makoto, 2004,Feb,6,99,189,80,R,R
18,2024,Teppei Mataki,Mataki,Teppei, 1999,Feb,12,46,182,92,L,L
19,2024,Hayate Matsui,Matsui,Hayate, 2000,Sep,14,93,178,83,R,R
20,2024,Yohander Mendez,Mendez,Yohander, 1995,Jan,17,65,196,104,L,L
21,2024,Shunya Morita,Morita,Shunya, 1997,Feb,11,47,185,88,L,L
22,2024,Kota Nakagawa,Nakagawa,Kota, 1994,Feb,24,41,183,86,L,L
23,2024,Daisuke Naoe,Naoe,Daisuke, 2000,Jun,20,54,185,87,R,R
24,2024,Yuhi Nishidate,Nishidate,Yuhi, 2002,Mar,11,17,185,79,R,R
25,2024,Ryusei Ohe,Ohe,Ryusei, 1999,Jan,15,64,173,82,L,L
26,2024,Taisei Ota,Ota,Taisei, 1999,Jun,29,15,183,90,R,R
27,2024,Yamato Shiroki,Shiroki,Yamato, 2003,Sep,8,68,184,92,L,L
28,2024,Tomoyuki Sugano,Sugano,Tomoyuki, 1989,Oct,11,18,186,95,R,R
29,2024,Kohei Suzuki,Suzuki,Kohei, 1994,Jan,21,32,186,92,R,R
30,2024,Rei Takahashi,Takahashi,Rei, 1995,Nov,2,28,187,90,R,R
31,2024,Yuki Takahashi,Takahashi,Yuki, 1997,Feb,1,57,178,82,L,L
32,2024,Yuhei Takanashi,Takanashi,Yuhei, 1992,Jul,13,53,175,86,L,L
33,2024,Chiharu Tanaka,Tanaka,Chiharu, 2000,Sep,21,48,189,85,R,R
34,2024,Shosei Togo,Togo,Shosei, 2000,Apr,4,20,187,84,R,R
35,2024,Ryusei Yamada,Yamada,Ryusei, 2000,Sep,7,90,183,82,L,L
36,2024,Iori Yamasaki,Yamasaki,Iori, 1998,Oct,10,19,181,81,R,L
37,2024,Kai Yokogawa,Yokogawa,Kai, 2000,Aug,30,62,190,98,L,L
38,2024,,CATCHERS,,,Born,,No.,Ht.(cm),Wt.(kg),T,B
39,2024,Yukinori Kishida,Kishida,Yukinori, 1996,Oct,10,27,176,88,R,R
40,2024,Ryusuke Kita,Kita,Ryusuke, 1998,Aug,25,94,179,83,R,R
41,2024,Seiji Kobayashi,Kobayashi,Seiji, 1989,Jun,7,22,178,86,R,R
42,2024,Takuya Kohri,Kohri,Takuya, 1998,Apr,25,37,179,88,R,R
43,2024,Takumi Ohshiro,Ohshiro,Takumi, 1993,Feb,11,24,187,90,R,L
44,2024,Shinnosuke Yamase,Yamase,Shinnosuke, 2001,May,4,67,177,89,R,R
