,Team,Name,Age,G,PCT,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
24,25.0,Hirokazu Sawamura,32.0,13,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
5,6.0,Shuhei Katoh,21.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
6,7.0,Kazuya Katsuki,24.0,8,9,9,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,
38,39.0,Kai Yokogawa,19.0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,
10,11.0,Takuya Kuwahara,24.0,5,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
41,42.0,Dai Yuasa,20.0,13,9,7,3,0,0,0,0,0,2,0,1,3,0.0,0.125,0.0,0.125,0,0,0,1,0,0,
33,34.0,Shosei Togo,20.0,19,37,34,1,0,0,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0,0,0,3,0,0,
17,18.0,Ryusei Ohe,21.0,43,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
16,17.0,Daisuke Naoe,20.0,3,4,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,
23,24.0,Ángel Sánchez,30.0,15,34,29,0,1,0,0,0,0,0,0,0,20,0.035,0.035,0.035,0.069,1,0,0,5,0,0,
2,3.0,Nobutaka Imamura,26.0,12,24,20,2,1,0,0,0,2,0,0,1,12,0.05,0.095,0.05,0.145,1,0,0,3,0,0,
1,2.0,Seishu Hatake,26.0,12,25,19,1,1,0,0,0,1,0,0,0,11,0.053,0.053,0.053,0.105,1,0,0,6,0,0,
9,10.0,Seiji Kobayashi,31.0,10,21,18,1,1,0,0,0,0,0,0,0,4,0.056,0.15,0.056,0.206,1,0,2,1,0,0,
22,23.0,Toshiki Sakurai,26.0,25,18,15,0,1,0,0,0,0,0,0,1,6,0.067,0.125,0.067,0.192,1,0,0,2,0,0,
26,27.0,Tomoyuki Sugano,30.0,20,53,44,3,4,3,0,0,3,0,0,1,16,0.091,0.111,0.159,0.27,7,0,0,8,0,0,
39,40.0,Daiki Yoshikawa#,27.0,30,12,10,1,1,0,0,0,0,2,1,1,2,0.1,0.182,0.1,0.282,1,0,0,1,0,0,
0,1.0,Cristopher Crisostomo,26.0,11,22,19,0,2,0,0,0,0,0,0,0,8,0.105,0.105,0.105,0.211,2,0,0,3,0,0,
29,30.0,Yuki Takahashi,23.0,8,7,7,0,1,0,1,0,1,0,0,0,3,0.143,0.143,0.429,0.572,3,0,0,0,0,0,
34,35.0,Estamy Urena,21.0,11,20,18,0,3,0,0,0,0,0,0,2,8,0.167,0.25,0.167,0.417,3,0,0,0,0,0,
27,28.0,Ginjiro Sumitani,32.0,56,114,100,4,18,2,0,1,7,0,0,8,23,0.18,0.252,0.23,0.482,23,3,2,3,1,2,
28,29.0,Kazuto Taguchi,24.0,26,34,28,2,6,2,0,0,3,0,0,3,11,0.214,0.29,0.286,0.576,8,0,0,3,0,0,
14,15.0,Israel Mota,24.0,9,11,9,3,2,0,0,1,4,1,0,2,3,0.222,0.364,0.556,0.919,5,0,0,0,0,0,
8,9.0,Takumi Kitamura,24.0,57,88,75,9,17,2,0,2,10,0,0,10,24,0.227,0.326,0.333,0.659,25,2,1,2,0,1,
37,38.0,Daikan Yoh,33.0,38,77,63,12,15,1,0,1,6,1,0,9,21,0.238,0.351,0.302,0.652,19,1,3,0,2,1,
3,4.0,Shingo Ishikawa,27.0,43,47,45,2,11,1,0,2,7,0,0,2,12,0.244,0.277,0.4,0.677,18,1,0,0,0,0,
36,37.0,Zelous Wheeler,33.0,98,288,263,26,65,9,0,12,36,3,3,22,47,0.247,0.309,0.418,0.727,110,6,2,0,1,1,
35,36.0,Akihiro Wakabayashi#,26.0,76,159,146,22,36,6,1,2,14,2,4,8,32,0.247,0.289,0.343,0.631,50,6,1,3,1,0,
42,TeamBat,42 Players,28.6,120,4519,3994,532,1019,183,16,135,507,80,33,423,974,0.255,0.328,0.41,0.739,1639,80,22,59,21,31,
4,5.0,Yoshiyuki Kamei,37.0,51,156,141,21,36,7,0,2,17,0,1,11,21,0.255,0.31,0.348,0.657,49,3,1,1,2,0,
25,26.0,Shinnosuke Shigenobu,27.0,60,96,90,17,23,5,1,1,6,5,1,6,33,0.256,0.302,0.367,0.669,33,1,0,0,0,0,
32,33.0,Soichiro Tateoka,30.0,29,27,23,5,6,0,1,1,4,1,0,4,6,0.261,0.37,0.478,0.849,11,1,0,0,0,1,
13,14.0,Seiya Matsubara,25.0,86,313,278,42,73,11,5,3,19,12,2,29,71,0.263,0.33,0.371,0.701,103,4,0,4,2,0,
30,31.0,Shunta Tanaka,26.0,48,78,68,7,18,2,1,1,6,2,0,8,15,0.265,0.346,0.368,0.714,25,0,1,0,1,1,
20,21.0,Gerardo Parra,33.0,47,154,146,14,39,3,1,4,13,0,2,8,35,0.267,0.305,0.384,0.689,56,6,0,0,0,1,
18,19.0,Takumi Ohshiro,27.0,93,308,274,30,74,10,1,9,41,1,0,30,82,0.27,0.339,0.412,0.751,113,1,0,1,3,6,
40,41.0,Naoki Yoshikawa,25.0,112,389,354,47,97,16,2,8,32,11,3,30,60,0.274,0.336,0.398,0.734,141,6,3,2,0,4,
19,20.0,Kazuma Okamoto,24.0,118,500,440,79,121,26,0,31,97,2,0,55,85,0.275,0.362,0.546,0.908,240,10,5,0,0,2,
11,12.0,Yoshihiro Maru,31.0,120,491,423,63,120,31,1,27,77,8,4,63,101,0.284,0.375,0.553,0.928,234,3,0,3,2,4,
21,22.0,Hayato Sakamoto,31.0,115,479,412,64,119,28,1,19,65,4,1,62,85,0.289,0.379,0.5,0.879,206,9,0,1,4,7,
12,13.0,Daiki Masuda,26.0,74,48,37,30,11,2,0,0,2,23,8,11,12,0.297,0.458,0.351,0.81,13,1,0,0,0,0,
15,16.0,Hiroyuki Nakajima,37.0,100,312,279,19,83,13,0,7,29,0,3,31,59,0.298,0.369,0.419,0.788,117,11,1,0,1,0,
7,8.0,Yukinori Kishida,23.0,34,48,43,2,13,3,0,1,5,0,0,3,16,0.302,0.34,0.442,0.782,19,4,0,1,1,0,
31,32.0,Toyoki Tanaka,26.0,31,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,
