,Year,Name,Last,First,Hand,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP
0,2024,Yuji Akahoshi,Akahoshi,Yuji,R,6,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
1,2024,Yuto Akihiro,Akihiro,Yuto,L,7,19,1,4,0,0,0,4,0,0,0,0,0,1,0,0,6,0,0.211,0.211,0.25
2,2024,Shogo Asano,Asano,Shogo,R,3,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
3,2024,Kosuke Baba,Baba,Kosuke,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
4,2024,Alberto Baldonado,Baldonado,Alberto,L,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
5,2024,Hisayoshi Chono,Chono,Hisayoshi,R,21,39,1,10,2,1,0,14,6,0,0,0,0,4,1,0,10,1,0.256,0.359,0.326
6,2024,Hiromasa Funabasama,Funabasama,Hiromasa,L,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
7,2024,Foster Griffin,Griffin,Foster,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
8,2024,Masaya Hagio,Hagio,Masaya,R,38,118,11,26,7,2,2,43,10,0,2,1,0,11,1,0,28,4,0.22,0.364,0.287
9,2024,Ryuta Heinai,Heinai,Ryuta,R,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
10,2024,Kenshin Hotta,Hotta,Kenshin,R,10,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0.167,0.167,0.167
11,2024,Nobutaka Imamura,Imamura,Nobutaka,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
12,2024,Haruto Inoue,Inoue,Haruto,L,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
13,2024,Yuta Izuguchi,Izuguchi,Yuta,L,16,25,0,3,0,0,0,3,1,1,0,1,0,4,0,0,6,0,0.12,0.12,0.241
14,2024,Keisuke Izumi,Izumi,Keisuke,R,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
15,2024,Makoto Kadowaki,Kadowaki,Makoto,L,43,149,10,33,4,0,0,37,7,5,1,9,0,13,2,1,25,0,0.221,0.248,0.288
16,2024,Takayuki Kajitani,Kajitani,Takayuki,L,6,16,2,3,0,0,1,6,2,0,0,0,0,1,0,0,4,1,0.188,0.375,0.235
17,2024,Kyle Keller,Keller,Kyle,R,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
18,2024,Yukinori Kishida,Kishida,Yukinori,R,21,51,6,18,3,1,1,26,5,1,1,3,1,3,0,1,6,1,0.353,0.51,0.393
19,2024,Seiji Kobayashi,Kobayashi,Seiji,R,21,49,2,8,1,0,1,12,5,1,0,4,0,4,0,2,8,0,0.163,0.245,0.255
20,2024,Takuya Kohri,Kohri,Takuya,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
21,2024,Makoto Kyomoto,Kyomoto,Makoto,R,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
22,2024,Yoshihiro Maru,Maru,Yoshihiro,L,42,137,11,38,1,1,3,50,11,3,0,0,1,23,2,0,21,5,0.277,0.365,0.379
23,2024,Daiki Masuda,Masuda,Daiki,R,5,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.125,0.125,0.125
24,2024,Seiya Matsubara,Matsubara,Seiya,L,9,13,1,2,0,0,0,2,2,0,0,0,0,3,0,0,5,0,0.154,0.154,0.313
25,2024,Hayate Matsui,Matsui,Hayate,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
26,2024,Yohander Mendez,Mendez,Yohander,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
27,2024,Kota Nakagawa,Nakagawa,Kota,L,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
28,2024,Raito Nakayama,Nakayama,Raito,L,9,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0.091,0.091,0.167
29,2024,Yuhi Nishidate,Nishidate,Yuhi,R,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30,2024,Ryusei Ohe,Ohe,Ryusei,L,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
31,2024,Takumi Ohshiro,Ohshiro,Takumi,L,23,64,1,12,2,0,0,14,3,0,0,0,1,1,0,0,14,2,0.188,0.219,0.197
32,2024,Kazuma Okamoto,Okamoto,Kazuma,R,45,161,18,45,9,0,8,78,21,0,0,0,1,25,4,2,40,2,0.28,0.484,0.381
33,2024,Louis Okoye,Okoye,Louis,R,24,64,3,15,3,0,0,18,2,2,0,2,0,5,0,1,17,3,0.234,0.281,0.3
34,2024,Taisei Ota,Ota,Taisei,R,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
35,2024,Hayato Sakamoto,Sakamoto,Hayato,R,42,158,13,42,5,0,3,56,13,1,0,0,1,11,0,1,27,5,0.266,0.354,0.316
36,2024,Shunsuke Sasaki,Sasaki,Shunsuke,L,40,111,9,26,5,1,0,33,5,2,1,2,1,7,0,0,32,3,0.234,0.297,0.277
37,2024,Shinnosuke Shigenobu,Shigenobu,Shinnosuke,L,18,11,3,1,0,0,0,1,0,4,0,0,0,1,0,0,4,0,0.091,0.091,0.167
38,2024,Tomoyuki Sugano,Sugano,Tomoyuki,R,6,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0.0,0.0,0.071
39,2024,Rei Takahashi,Takahashi,Rei,R,8,13,1,2,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0.154,0.154,0.154
40,2024,Yuhei Takanashi,Takanashi,Yuhei,L,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
41,2024,Soichiro Tateoka,Tateoka,Soichiro,L,2,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0.0,0.0,0.2
42,2024,Shosei Togo,Togo,Shosei,R,8,12,0,0,0,0,0,0,1,0,0,6,0,0,0,0,5,0,0.0,0.0,0.0
43,2024,Estamy Urena,Urena,Estamy,R,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.2
44,2024,Iori Yamasaki,Yamasaki,Iori,L,8,20,0,2,0,0,0,2,2,0,0,2,0,0,0,0,8,0,0.1,0.1,0.1
45,2024,Shinnosuke Yamase,Yamase,Shinnosuke,R,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
46,2024,Kai Yokogawa,Yokogawa,Kai,L,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
47,2024,Naoki Yoshikawa,Yoshikawa,Naoki,L,45,163,15,44,7,1,1,56,11,3,1,2,2,16,1,0,18,1,0.27,0.344,0.331
48,2024,Dai Yuasa,Yuasa,Dai,R,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
