,Year,Last,First,Hand,IP,G,W,L,SV,HLD,CG,SHO,PCT,BF,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA
0,2024,Akahoshi,Yuji,R,26.0,6,0,4,0,0,0,0,0.0,102,27,3,1,0,1,13,0,0,12,11,3.81
1,2024,Baba,Kosuke,R,0.6666,1,0,0,0,0,0,0,0.0,3,1,0,0,0,0,1,0,0,0,0,0.0
2,2024,Baldonado,Alberto,L,19.6666,20,1,0,3,10,0,0,1.0,78,13,0,9,1,0,24,0,0,2,2,0.92
3,2024,Funabasama,Hiromasa,R,12.3333,16,0,0,0,10,0,0,0.0,47,5,1,3,0,2,8,0,0,3,3,2.19
4,2024,Griffin,Foster,L,14.3333,3,1,1,0,0,0,0,0.5,66,20,2,4,0,0,8,0,1,10,9,5.65
5,2024,Heinai,Ryuta,R,5.3333,4,0,0,0,0,0,0,0.0,23,6,1,1,0,0,3,1,0,3,1,1.69
6,2024,Hotta,Kenshin,R,30.0,10,3,1,0,0,0,0,0.75,112,22,0,7,0,2,18,0,0,5,5,1.5
7,2024,Imamura,Nobutaka,L,2.0,2,0,0,0,0,0,0,0.0,6,0,0,0,0,0,3,0,0,0,0,0.0
8,2024,Inoue,Haruto,L,15.3333,8,0,3,0,2,0,0,0.0,69,17,0,5,0,1,9,1,0,11,9,5.28
9,2024,Izumi,Keisuke,R,12.0,13,1,0,1,0,0,0,1.0,42,4,0,2,0,1,11,0,0,0,0,0.0
10,2024,Keller,Kyle,R,9.0,10,0,0,0,2,0,0,0.0,37,6,3,5,0,0,9,0,0,3,3,3.0
11,2024,Kyomoto,Makoto,R,5.0,4,0,0,0,0,0,0,0.0,20,4,0,2,1,1,3,0,0,2,2,3.6
12,2024,Matsui,Hayate,R,1.3333,2,0,0,0,0,0,0,0.0,9,2,1,3,0,0,1,0,0,2,2,13.5
13,2024,Mendez,Yohander,L,4.0,1,0,1,0,0,0,0,0.0,20,4,0,4,0,0,3,0,0,4,4,9.0
14,2024,Nakagawa,Kota,L,6.0,8,0,2,0,5,0,0,0.0,29,9,2,1,0,0,4,0,0,6,6,9.0
15,2024,Nishidate,Yuhi,R,15.3333,17,0,2,0,14,0,0,0.0,61,9,0,7,0,0,10,0,0,6,5,2.93
16,2024,Ohe,Ryusei,L,8.0,8,0,0,0,3,0,0,0.0,27,4,1,1,0,0,7,0,0,2,2,2.25
17,2024,Ota,Taisei,R,9.6666,11,0,1,7,1,0,0,0.0,41,9,0,2,1,0,12,0,0,2,2,1.86
18,2024,Sugano,Tomoyuki,R,39.3333,6,4,0,0,0,0,0,1.0,152,30,2,8,0,0,26,1,0,6,6,1.37
19,2024,Takahashi,Rei,R,40.3333,8,2,2,0,0,1,0,0.5,162,28,3,17,1,1,18,1,0,11,10,2.23
20,2024,Takanashi,Yuhei,L,9.3333,13,1,0,0,8,0,0,1.0,36,5,1,4,0,0,6,0,0,1,1,0.96
21,2024,Togo,Shosei,R,49.6666,8,3,2,0,0,0,0,0.6,197,38,3,11,0,2,47,2,0,12,12,2.17
22,2024,Yamasaki,Iori,R,55.3333,8,4,0,0,0,1,1,1.0,227,41,1,19,1,4,32,1,0,9,9,1.46
23,2024,Yokogawa,Kai,L,13.0,5,1,1,0,0,0,0,0.5,51,10,0,6,0,0,4,0,0,2,2,1.38
